,Entry_Datetime,ATM_Strike,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
28,2019-02-08 09:20:00,27300,6,27300_CE,196.15,255.85,2019-02-08 13:45:00,27300_PE,203.0,131.95,2019-02-08 14:30:00,11.350000000000023
29,2019-02-11 09:20:00,27300,3,27300_CE,132.2,126.1,2019-02-11 14:30:00,27300_PE,204.3,172.75,2019-02-11 14:30:00,37.650000000000006
30,2019-02-12 09:20:00,27400,2,27400_CE,99.75,77.85,2019-02-12 14:30:00,27400_PE,174.75,186.2,2019-02-12 14:30:00,10.450000000000017
31,2019-02-13 09:20:00,27200,1,27200_CE,75.3,43.95,2019-02-13 14:30:00,27200_PE,155.0,213.8,2019-02-13 13:32:00,-27.450000000000017
32,2019-02-14 09:20:00,26900,0,26900_CE,48.4,63.75,2019-02-14 09:33:00,26900_PE,94.3,7.2,2019-02-14 14:30:00,71.75
33,2019-02-15 09:20:00,27000,6,27000_CE,162.75,132.55,2019-02-15 14:30:00,27000_PE,260.5,356.3,2019-02-15 11:01:00,-65.60000000000002
34,2019-02-18 09:20:00,26900,3,26900_CE,159.2,127.0,2019-02-18 14:30:00,26900_PE,231.0,247.7,2019-02-18 14:30:00,15.5
35,2019-02-19 09:20:00,26800,2,26800_CE,156.55,206.25,2019-02-19 10:01:00,26800_PE,191.0,96.5,2019-02-19 14:30:00,44.80000000000001
36,2019-02-20 09:20:00,26900,1,26900_CE,81.05,111.3,2019-02-20 09:31:00,26900_PE,163.9,155.5,2019-02-20 14:30:00,-21.849999999999994
37,2019-02-25 09:20:00,27000,3,27000_CE,172.7,193.85,2019-02-25 14:30:00,27000_PE,125.65,103.95,2019-02-25 14:30:00,0.5499999999999972
38,2019-02-26 09:20:00,26900,2,26900_CE,153.75,204.65,2019-02-26 12:38:00,26900_PE,150.0,197.5,2019-02-26 09:36:00,-98.4
39,2019-02-27 09:20:00,27100,1,27100_CE,122.55,48.45,2019-02-27 14:30:00,27100_PE,94.35,128.75,2019-02-27 11:21:00,39.69999999999999
40,2019-02-28 09:20:00,26900,0,26900_CE,83.75,16.85,2019-02-28 14:30:00,26900_PE,75.5,99.7,2019-02-28 09:40:00,42.7
41,2019-03-01 09:20:00,27100,6,27100_CE,153.9,158.2,2019-03-01 14:30:00,27100_PE,236.4,198.6,2019-03-01 14:30:00,33.50000000000003
42,2019-03-05 09:20:00,27200,2,27200_CE,80.0,109.6,2019-03-05 10:45:00,27200_PE,238.15,59.15,2019-03-05 14:30:00,149.4
43,2019-03-06 09:20:00,27700,1,27700_CE,49.7,69.05,2019-03-06 09:26:00,27700_PE,198.55,167.7,2019-03-06 14:30:00,11.500000000000028
44,2019-03-07 09:20:00,27700,0,27700_CE,18.5,26.05,2019-03-07 13:43:00,27700_PE,142.35,9.55,2019-03-07 14:30:00,125.24999999999999
45,2019-03-08 09:20:00,27800,6,27800_CE,136.15,183.15,2019-03-08 11:29:00,27800_PE,231.6,217.25,2019-03-08 14:30:00,-32.650000000000006
46,2019-03-11 09:20:00,28000,3,28000_CE,113.1,152.8,2019-03-11 09:39:00,28000_PE,196.0,138.95,2019-03-11 14:30:00,17.349999999999994
47,2019-03-12 09:20:00,28200,2,28200_CE,108.7,144.8,2019-03-12 10:15:00,28200_PE,146.85,64.7,2019-03-12 14:30:00,46.04999999999998
48,2019-03-13 09:20:00,28500,1,28500_CE,76.65,105.2,2019-03-13 09:32:00,28500_PE,178.55,37.1,2019-03-13 14:30:00,112.90000000000002
49,2019-03-14 09:20:00,29100,0,29100_CE,55.45,14.35,2019-03-14 14:30:00,29100_PE,141.55,184.75,2019-03-14 10:17:00,-2.099999999999987
50,2019-03-22 09:20:00,30000,6,30000_CE,262.75,112.5,2019-03-22 14:30:00,30000_PE,227.55,298.8,2019-03-22 10:36:00,79.0
51,2019-03-25 09:20:00,29300,3,29300_CE,212.4,142.1,2019-03-25 14:30:00,29300_PE,199.9,230.0,2019-03-25 14:30:00,40.20000000000002
52,2019-03-26 09:20:00,29400,2,29400_CE,149.9,197.6,2019-03-26 09:49:00,29400_PE,158.9,63.75,2019-03-26 14:30:00,47.45000000000002
53,2019-03-27 09:20:00,30200,1,30200_CE,151.0,198.25,2019-03-27 12:25:00,30200_PE,173.6,240.5,2019-03-27 09:38:00,-114.15
54,2019-03-28 09:20:00,30000,0,30000_CE,96.0,142.4,2019-03-28 09:48:00,30000_PE,83.8,1.2,2019-03-28 14:30:00,36.19999999999999
55,2019-03-29 09:20:00,30600,6,30600_CE,287.35,280.05,2019-03-29 14:30:00,30600_PE,390.5,396.4,2019-03-29 14:30:00,1.400000000000034
56,2019-04-01 09:20:00,30700,3,30700_CE,274.55,260.9,2019-04-01 14:30:00,30700_PE,316.55,265.85,2019-04-01 14:30:00,64.35000000000002
57,2019-04-02 09:20:00,30400,2,30400_CE,202.7,269.55,2019-04-02 11:34:00,30400_PE,304.2,271.4,2019-04-02 14:30:00,-34.05000000000001
58,2019-04-03 09:20:00,30700,1,30700_CE,151.55,72.6,2019-04-03 14:30:00,30700_PE,219.65,286.25,2019-04-03 11:36:00,12.350000000000023
59,2019-04-04 09:20:00,30300,0,30300_CE,53.5,70.3,2019-04-04 09:38:00,30300_PE,202.45,289.9,2019-04-04 11:54:00,-104.24999999999999
60,2019-04-05 09:20:00,30200,6,30200_CE,212.1,160.25,2019-04-05 14:30:00,30200_PE,274.5,361.0,2019-04-05 11:17:00,-34.650000000000006
61,2019-04-08 09:20:00,30300,3,30300_CE,161.3,47.3,2019-04-08 14:30:00,30300_PE,272.0,381.05,2019-04-08 13:28:00,4.950000000000003
62,2019-04-09 09:20:00,30000,2,30000_CE,118.1,164.55,2019-04-09 09:53:00,30000_PE,289.7,118.55,2019-04-09 14:30:00,124.69999999999996
63,2019-04-10 09:20:00,30300,1,30300_CE,98.85,22.0,2019-04-10 14:30:00,30300_PE,270.25,371.6,2019-04-10 13:31:00,-24.50000000000003
64,2019-04-11 09:20:00,29900,0,29900_CE,40.8,4.5,2019-04-11 14:30:00,29900_PE,163.25,214.4,2019-04-11 11:15:00,-14.850000000000009
65,2019-04-12 09:20:00,30000,6,30000_CE,184.4,213.4,2019-04-12 14:30:00,30000_PE,302.65,206.7,2019-04-12 14:30:00,66.94999999999999
66,2019-04-15 09:20:00,30100,3,30100_CE,148.25,193.05,2019-04-15 10:17:00,30100_PE,236.0,152.1,2019-04-15 14:30:00,39.099999999999994
67,2019-04-16 09:20:00,30300,2,30300_CE,126.2,164.9,2019-04-16 09:52:00,30300_PE,146.45,48.2,2019-04-16 14:30:00,59.54999999999998
68,2019-04-18 09:20:00,30600,0,30600_CE,81.8,1.6,2019-04-18 14:30:00,30600_PE,72.45,96.65,2019-04-18 09:38:00,56.0
69,2019-04-22 09:20:00,30000,3,30000_CE,226.75,140.75,2019-04-22 14:30:00,30000_PE,217.0,286.85,2019-04-22 14:30:00,16.149999999999977
70,2019-04-23 09:20:00,29900,2,29900_CE,163.15,124.0,2019-04-23 14:30:00,29900_PE,213.0,280.25,2019-04-23 10:04:00,-28.099999999999994
71,2019-04-24 09:20:00,29600,1,29600_CE,144.55,163.6,2019-04-24 14:30:00,29600_PE,146.2,193.15,2019-04-24 09:33:00,-66.0
72,2019-04-25 09:20:00,29900,0,29900_CE,92.65,122.2,2019-04-25 09:31:00,29900_PE,73.8,96.25,2019-04-25 13:51:00,-52.0
73,2019-04-30 09:20:00,30000,2,30000_CE,108.5,41.45,2019-04-30 14:30:00,30000_PE,233.15,303.15,2019-04-30 09:46:00,-2.9499999999999744
74,2019-05-02 09:20:00,29800,0,29800_CE,63.25,88.1,2019-05-02 09:43:00,29800_PE,136.8,37.0,2019-05-02 14:30:00,74.95000000000002
75,2019-05-03 09:20:00,29900,6,29900_CE,224.8,294.9,2019-05-03 12:49:00,29900_PE,262.65,169.15,2019-05-03 14:30:00,23.400000000000006
